Reg_Address,Instruction
0,(25) A[8]
0,(77) B[4]
1,(28) A[9]
2,(41) A[13]
2,(74) B[3]
2,(45) B[4]
3,(44) A[14]
4,(57) A[18]
4,(61) B[4]
5,(60) A[19]
6,(73) A[23]
7,(76) A[24]
