Reg_Address,Instruction
0,(0) A[0]
0,(52) B[1]
0,(10) B[3]
1,(3) A[1]
1,(39) B[2]
2,(6) A[2]
3,(9) A[3]
4,(16) A[5]
4,(55) B[2]
5,(19) A[6]
5,(77) B[4]
6,(22) A[7]
6,(29) B[4]
7,(25) A[8]
8,(28) A[9]
9,(32) A[10]
9,(65) B[0]
9,(17) B[0]
9,(71) B[2]
10,(35) A[11]
10,(7) B[2]
11,(38) A[12]
12,(41) A[13]
13,(48) A[15]
13,(36) B[1]
13,(23) B[2]
14,(51) A[16]
14,(58) B[3]
15,(54) A[17]
16,(57) A[18]
17,(60) A[19]
18,(64) A[20]
18,(4) B[1]
18,(42) B[3]
19,(67) A[21]
19,(74) B[3]
20,(70) A[22]
21,(73) A[23]
22,(76) A[24]
23,(1) B[0]
23,(20) B[1]
23,(61) B[4]
24,(49) B[0]
24,(68) B[1]
24,(26) B[3]
