Reg_Address,Instruction
0,(0) A[0]
0,(52) B[1]
0,(10) B[3]
1,(3) A[1]
1,(39) B[2]
2,(6) A[2]
3,(9) A[3]
4,(16) A[5]
4,(55) B[2]
5,(19) A[6]
5,(77) B[4]
6,(22) A[7]
6,(29) B[4]
7,(25) A[8]
8,(28) A[9]
9,(32) A[10]
9,(65) B[0]
9,(17) B[0]
9,(71) B[2]
9,(45) B[4]
10,(35) A[11]
10,(7) B[2]
11,(38) A[12]
12,(41) A[13]
13,(44) A[14]
14,(48) A[15]
14,(36) B[1]
14,(23) B[2]
15,(51) A[16]
15,(58) B[3]
16,(54) A[17]
17,(57) A[18]
18,(60) A[19]
19,(64) A[20]
19,(4) B[1]
19,(42) B[3]
20,(67) A[21]
20,(74) B[3]
21,(70) A[22]
22,(73) A[23]
23,(76) A[24]
24,(1) B[0]
24,(20) B[1]
24,(61) B[4]
25,(49) B[0]
25,(68) B[1]
25,(26) B[3]
