Reg_Address,Instruction
0,(0) A[0]
0,(52) B[1]
0,(10) B[3]
1,(3) A[1]
1,(39) B[2]
2,(6) A[2]
3,(9) A[3]
4,(16) A[5]
4,(55) B[2]
5,(19) A[6]
5,(29) B[4]
6,(22) A[7]
7,(25) A[8]
8,(28) A[9]
9,(32) A[10]
9,(65) B[0]
9,(17) B[0]
9,(71) B[2]
10,(35) A[11]
10,(7) B[2]
11,(38) A[12]
12,(41) A[13]
13,(48) A[15]
13,(36) B[1]
13,(23) B[2]
14,(51) A[16]
14,(58) B[3]
15,(54) A[17]
16,(57) A[18]
17,(64) A[20]
17,(4) B[1]
17,(42) B[3]
18,(67) A[21]
18,(74) B[3]
19,(70) A[22]
20,(73) A[23]
21,(1) B[0]
21,(20) B[1]
22,(49) B[0]
22,(68) B[1]
22,(26) B[3]
